iter	Passed	Remaining
901	1677	182
902	1678	180
903	1679	178
904	1680	176
905	1681	174
906	1682	172
907	1683	170
908	1685	168
909	1686	166
910	1688	164
911	1689	163
912	1691	161
913	1692	159
914	1693	157
915	1694	155
916	1695	153
917	1696	151
918	1698	149
919	1699	147
920	1700	145
921	1702	144
922	1703	142
923	1704	140
924	1705	138
925	1706	136
926	1707	134
927	1708	132
928	1710	130
929	1711	128
930	1712	126
931	1713	125
932	1714	123
933	1715	121
934	1718	119
935	1719	117
936	1721	115
937	1722	113
938	1723	111
939	1724	110
940	1726	108
941	1727	106
942	1728	104
943	1729	102
944	1730	100
945	1732	98
946	1734	97
947	1735	95
948	1736	93
949	1737	91
950	1738	89
951	1739	87
952	1741	85
953	1742	84
954	1743	82
955	1744	80
956	1745	78
957	1747	76
958	1749	74
959	1750	72
960	1751	71
961	1752	69
962	1753	67
963	1754	65
964	1755	63
965	1756	61
966	1757	59
967	1758	58
968	1759	56
969	1760	54
970	1762	52
971	1763	50
972	1764	48
973	1765	47
974	1766	45
975	1767	43
976	1768	41
977	1769	39
978	1770	37
979	1771	36
980	1772	34
981	1773	32
982	1774	30
983	1775	28
984	1776	27
985	1778	25
986	1779	23
987	1780	21
988	1781	19
989	1782	18
990	1783	16
991	1784	14
992	1784	12
993	1785	10
994	1786	8
995	1787	7
996	1788	5
997	1790	3
998	1791	1
999	1792	0
